0.01	49.7634
0.059995	29.072
0.10999	17.6295
0.159985	10.8317
0.20998	7.60622
0.259975	5.76221
0.30997	4.58442
0.359965	3.77452
0.40996	3.1874
0.459955	2.74454
0.50995	2.35319
0.559945	1.89774
0.60994	1.55887
0.659935	1.30052
0.70993	1.09945
0.759925	0.94015
0.80992	0.811995
0.859915	0.707493
0.90991	0.62126
0.959905	0.549345
1.0099	0.488798
1.0599	0.437387
1.10989	0.393393
1.15989	0.35548
1.20988	0.322599
1.25987	0.293912
1.30987	0.268748
1.35986	0.246564
1.40986	0.226916
1.45985	0.209439
1.50985	0.193831
1.55984	0.179839
1.60984	0.167251
1.65983	0.155891
1.70983	0.145606
1.75982	0.136267
1.80982	0.127764
1.85981	0.120002
1.90981	0.1129
1.95981	0.106385
2.0098	0.100396
2.05979	0.09488
2.10979	0.0897883
2.15978	0.0850797
2.20978	0.0807174
2.25977	0.076669
2.30977	0.0729058
2.35976	0.069402
2.40976	0.0661348
2.45975	0.0630839
2.50975	0.060231
2.55974	0.0575596
2.60974	0.0550549
2.65973	0.0527038
2.70973	0.050494
2.75972	0.0484149
2.80972	0.0464563
2.85971	0.0446095
2.90971	0.0428663
2.9597	0.0412191
3.0097	0.0396613
3.05969	0.0381865
3.10969	0.0367892
3.15968	0.0354641
3.20968	0.0342065
3.25967	0.0330118
3.30967	0.0318761
3.35966	0.0307956
3.40966	0.029767
3.45965	0.0287869
3.50965	0.0278524
3.55964	0.0269609
3.60964	0.0261098
3.65963	0.0252967
3.70963	0.0245194
3.75962	0.0237759
3.80962	0.0230644
3.85961	0.022383
3.90961	0.0217302
3.9596	0.0211043
4.0096	0.020504
4.05959	0.0199278
4.10959	0.0193746
4.15958	0.0188432
4.20958	0.0183325
4.25957	0.0178413
4.30957	0.0173689
4.35956	0.0169142
4.40956	0.0164763
4.45955	0.0160546
4.50955	0.0156482
4.55954	0.0152563
4.60954	0.0148784
4.65953	0.0145138
4.70953	0.0141619
4.75953	0.0138221
4.80952	0.0134939
4.85951	0.0131767
4.90951	0.0128701
4.9595	0.0125737
5.0095	0.0122869
5.05949	0.0120095
5.10949	0.0117409
5.15948	0.0114809
5.20948	0.011229
5.25947	0.0109851
5.30947	0.0107486
5.35946	0.0105194
5.40946	0.0102971
5.45945	0.0100815
5.50945	0.00987236
5.55944	0.00966936
5.60944	0.00947229
5.65943	0.00928094
5.70943	0.00909508
5.75942	0.00891452
5.80942	0.00873906
5.85941	0.00856851
5.90941	0.00840269
5.9594	0.00824144
6.0094	0.0080846
6.05939	0.007932
6.10939	0.0077835
6.15938	0.00763896
6.20938	0.00749824
6.25937	0.0073612
6.30937	0.00722773
6.35936	0.00709771
6.40936	0.00697102
6.45935	0.00684755
6.50935	0.00672719
6.55934	0.00660984
6.60934	0.00649541
6.65933	0.0063838
6.70933	0.00627492
6.75932	0.00616868
6.80932	0.00606501
6.85931	0.00596382
6.90931	0.00586503
6.9593	0.00576857
7.0093	0.00567438
7.05929	0.00558237
7.10929	0.0054925
7.15928	0.00540468
7.20928	0.00531886
7.25927	0.00523499
7.30927	0.005153
7.35926	0.00507284
7.40926	0.00499445
7.45925	0.0049178
7.50925	0.00484282
7.55924	0.00476946
7.60924	0.0046977
7.65923	0.00462747
7.70923	0.00455874
7.75922	0.00449146
7.80922	0.0044256
7.85921	0.00436112
7.90921	0.00429797
7.9592	0.00423613
8.0092	0.00417556
8.05919	0.00411623
8.10919	0.00405809
8.15918	0.00400113
8.20918	0.0039453
8.25917	0.00389059
8.30917	0.00383696
8.35916	0.00378439
8.40916	0.00373284
8.45915	0.00368229
8.50915	0.00363272
8.55914	0.0035841
8.60914	0.00353641
8.65913	0.00348962
8.70913	0.00344372
8.75912	0.00339868
8.80912	0.00335448
8.85911	0.0033111
8.90911	0.00326852
8.9591	0.00322672
9.0091	0.00318568
9.05909	0.00314539
9.10909	0.00310583
9.15908	0.00306697
9.20908	0.00302881
9.25907	0.00299133
9.30907	0.00295451
9.35906	0.00291834
9.40906	0.00288279
9.45905	0.00284787
9.50905	0.00281355
9.55904	0.00277982
9.60904	0.00274667
9.65903	0.00271408
9.70903	0.00268204
9.75902	0.00265055
9.80902	0.00261958
9.85901	0.00258912
9.90901	0.00255918
9.959	0.00252973
10.009	0.00250076
10.059	0.00247226
10.109	0.00244423
10.159	0.00241665
10.209	0.00238952
10.259	0.00236282
10.309	0.00233655
10.359	0.00231069
10.409	0.00228525
10.459	0.0022602
10.5089	0.00223555
10.5589	0.00221128
10.6089	0.00218738
10.6589	0.00216386
10.7089	0.00214069
10.7589	0.00211788
10.8089	0.00209542
10.8589	0.0020733
10.9089	0.00205151
10.9589	0.00203004
11.0089	0.0020089
11.0589	0.00198808
11.1089	0.00196756
11.1589	0.00194734
11.2089	0.00192742
11.2589	0.00190779
11.3089	0.00188845
11.3589	0.00186939
11.4089	0.0018506
11.4589	0.00183208
11.5088	0.00181383
11.5588	0.00179584
11.6088	0.0017781
11.6588	0.00176061
11.7088	0.00174337
11.7588	0.00172637
11.8088	0.0017096
11.8588	0.00169307
11.9088	0.00167677
11.9588	0.00166069
12.0088	0.00164483
12.0588	0.00162919
12.1088	0.00161376
12.1588	0.00159854
12.2088	0.00158352
12.2588	0.00156871
12.3088	0.00155409
12.3588	0.00153967
12.4088	0.00152544
12.4588	0.0015114
12.5087	0.00149754
12.5587	0.00148386
12.6087	0.00147036
12.6587	0.00145704
12.7087	0.00144389
12.7587	0.00143091
12.8087	0.0014181
12.8587	0.00140545
12.9087	0.00139296
12.9587	0.00138063
